epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2445,2.17583,4.20443,1.25245,0.83562,0.05241,0.04982,0.02573,2.22288,3.47524,1.10735,0.000193118,0.000193118,0.000193118
2,104.583,2.24866,3.12882,1.13347,0.61695,0.08673,0.06385,0.03485,2.1764,2.68012,1.11464,0.000387192,0.000387192,0.000387192
3,147.706,2.24144,2.68564,1.10461,0.47656,0.14342,0.10381,0.05789,2.07236,2.2842,1.08141,0.000579325,0.000579325,0.000579325
4,193.665,2.15938,2.37991,1.08695,0.50299,0.14841,0.13706,0.08057,2.01344,2.09837,1.07792,0.000579268,0.000579268,0.000579268
5,235.31,2.0974,2.21237,1.08138,0.54887,0.1468,0.15395,0.09129,1.94741,1.95314,1.0652,0.000576358,0.000576358,0.000576358
6,279.56,2.08217,2.06949,1.0623,0.48391,0.17277,0.16503,0.09808,1.93142,1.83849,1.04915,0.000573447,0.000573447,0.000573447
7,322.587,2.04244,1.98379,1.05937,0.52822,0.24039,0.19803,0.11909,1.91252,1.78358,1.03971,0.000570536,0.000570536,0.000570536
8,364.583,1.99678,1.91696,1.04891,0.54092,0.24639,0.2148,0.12886,1.95506,1.70105,1.04801,0.000567626,0.000567626,0.000567626
9,407.484,1.98252,1.81763,1.04148,0.54906,0.2694,0.24326,0.15599,1.85848,1.66841,1.0222,0.000564715,0.000564715,0.000564715
10,451.236,1.96062,1.82013,1.03747,0.53043,0.28435,0.22719,0.14254,1.83015,1.62679,1.01788,0.000561805,0.000561805,0.000561805
11,494.759,1.90988,1.73469,1.02821,0.58361,0.28736,0.26173,0.16953,1.82195,1.64453,1.01412,0.000558894,0.000558894,0.000558894
12,538.685,1.87787,1.70028,1.0186,0.52833,0.30854,0.26536,0.16769,1.8219,1.58894,1.0165,0.000555983,0.000555983,0.000555983
13,579.738,1.89003,1.69349,1.02359,0.51458,0.30531,0.26531,0.16767,1.93361,1.61409,1.02755,0.000553073,0.000553073,0.000553073
14,623.39,1.87892,1.65689,1.01898,0.5799,0.31843,0.30943,0.19855,1.75605,1.52334,1.00548,0.000550162,0.000550162,0.000550162
15,668.35,1.83058,1.60442,1.0076,0.5515,0.34824,0.3074,0.19922,1.80233,1.49272,1.01705,0.000547252,0.000547252,0.000547252
16,709.627,1.83913,1.58476,1.00217,0.57228,0.32215,0.31548,0.20506,1.75928,1.54282,1.00205,0.000544341,0.000544341,0.000544341
17,751.914,1.84759,1.57582,1.00996,0.59512,0.32532,0.35924,0.24012,1.72243,1.43081,0.99478,0.00054143,0.00054143,0.00054143
18,800.773,1.79869,1.53555,0.9985,0.4552,0.36494,0.3583,0.23653,1.73071,1.42747,0.99784,0.00053852,0.00053852,0.00053852
19,842.531,1.81202,1.51242,0.99691,0.66981,0.33584,0.37937,0.2425,1.73183,1.41319,0.99856,0.000535609,0.000535609,0.000535609
20,885.909,1.82063,1.51933,1.00427,0.67936,0.33769,0.39223,0.26079,1.70981,1.41101,0.99091,0.000532699,0.000532699,0.000532699
21,929.068,1.74865,1.48584,0.98779,0.45288,0.37324,0.40362,0.27019,1.69764,1.40202,0.97999,0.000529788,0.000529788,0.000529788
22,970.047,1.78302,1.47267,0.99276,0.49396,0.41127,0.41105,0.2773,1.66669,1.34534,0.98129,0.000526877,0.000526877,0.000526877
23,1012.82,1.75678,1.45405,0.99287,0.46623,0.40958,0.40526,0.27539,1.67172,1.34962,0.99159,0.000523967,0.000523967,0.000523967
24,1054.44,1.79321,1.46628,0.99512,0.44865,0.42496,0.42304,0.27362,1.74,1.34555,0.99826,0.000521056,0.000521056,0.000521056
25,1098.11,1.74684,1.43624,0.98377,0.56709,0.39686,0.4274,0.27948,1.67337,1.33526,0.98323,0.000518146,0.000518146,0.000518146
26,1141.5,1.76262,1.42352,0.98267,0.50253,0.472,0.45589,0.30131,1.63993,1.3111,0.9788,0.000515235,0.000515235,0.000515235
27,1182.89,1.76145,1.39305,0.9805,0.58986,0.40925,0.43568,0.28569,1.69824,1.33676,0.98127,0.000512324,0.000512324,0.000512324
28,1223.93,1.71646,1.38299,0.98109,0.51482,0.43747,0.45802,0.30823,1.66089,1.29094,0.97783,0.000509414,0.000509414,0.000509414
29,1265.82,1.73493,1.37857,0.97653,0.52431,0.46271,0.45882,0.30203,1.69053,1.30186,0.9796,0.000506503,0.000506503,0.000506503
30,1307.66,1.70972,1.36018,0.98173,0.54741,0.45694,0.48498,0.3314,1.64496,1.25011,0.9745,0.000503593,0.000503593,0.000503593
31,1348.56,1.72078,1.3707,0.97503,0.59606,0.44371,0.4917,0.33655,1.59895,1.234,0.97011,0.000500682,0.000500682,0.000500682
32,1390.26,1.68724,1.31354,0.96899,0.51407,0.49751,0.51494,0.35163,1.603,1.23901,0.96597,0.000497771,0.000497771,0.000497771
33,1435.59,1.68453,1.31396,0.97429,0.5405,0.50518,0.51526,0.35471,1.60039,1.22264,0.9655,0.000494861,0.000494861,0.000494861
34,1476.72,1.71144,1.33231,0.97378,0.52322,0.49903,0.50886,0.33541,1.60762,1.28989,0.97155,0.00049195,0.00049195,0.00049195
35,1519.05,1.67635,1.29737,0.96471,0.55842,0.52016,0.53032,0.36444,1.61338,1.2066,0.96711,0.00048904,0.00048904,0.00048904
36,1561.34,1.69817,1.31039,0.96884,0.56584,0.47744,0.51277,0.34322,1.63342,1.21762,0.97269,0.000486129,0.000486129,0.000486129
37,1601.5,1.70465,1.28855,0.96507,0.61048,0.50197,0.52977,0.36404,1.59252,1.17469,0.9652,0.000483218,0.000483218,0.000483218
38,1643.1,1.68896,1.30015,0.9712,0.56561,0.44836,0.48744,0.32981,1.61014,1.22627,0.96741,0.000480308,0.000480308,0.000480308
39,1685.68,1.67284,1.2818,0.9622,0.57077,0.55003,0.55065,0.38479,1.6096,1.17041,0.97114,0.000477397,0.000477397,0.000477397
40,1729.25,1.64865,1.25387,0.96425,0.61645,0.52496,0.55631,0.38002,1.65149,1.19483,0.97511,0.000474487,0.000474487,0.000474487
41,1770.33,1.67994,1.26325,0.96812,0.5729,0.52084,0.54531,0.36382,1.64353,1.20788,0.96876,0.000471576,0.000471576,0.000471576
42,1813.17,1.67737,1.25305,0.9649,0.60312,0.57023,0.57548,0.4002,1.5755,1.15206,0.96085,0.000468665,0.000468665,0.000468665
43,1854.42,1.65884,1.24454,0.96197,0.62972,0.50996,0.56655,0.38238,1.59608,1.15875,0.96285,0.000465755,0.000465755,0.000465755
44,1895.25,1.65002,1.21369,0.96042,0.62794,0.54832,0.58588,0.40538,1.55517,1.1247,0.95402,0.000462844,0.000462844,0.000462844
45,1936.71,1.64983,1.23066,0.96363,0.62087,0.50556,0.55578,0.38779,1.55967,1.18918,0.95794,0.000459934,0.000459934,0.000459934
46,1978.93,1.63667,1.21564,0.95701,0.6147,0.57255,0.59679,0.4128,1.56375,1.10363,0.95613,0.000457023,0.000457023,0.000457023
47,2020.4,1.65516,1.223,0.95546,0.62529,0.53564,0.59685,0.42254,1.54689,1.10991,0.95244,0.000454112,0.000454112,0.000454112
48,2064.06,1.61175,1.19465,0.95526,0.6067,0.58567,0.60652,0.41175,1.57423,1.10132,0.96174,0.000451202,0.000451202,0.000451202
49,2105.06,1.63409,1.19224,0.95444,0.62602,0.58719,0.60184,0.42382,1.53455,1.11583,0.95216,0.000448291,0.000448291,0.000448291
50,2147.31,1.59919,1.17869,0.95311,0.62308,0.52898,0.5683,0.39894,1.56205,1.15956,0.95625,0.000445381,0.000445381,0.000445381
51,2187.63,1.62108,1.18111,0.94678,0.65841,0.56491,0.60777,0.41063,1.56611,1.10965,0.95298,0.00044247,0.00044247,0.00044247
52,2227.78,1.59918,1.1698,0.94843,0.62585,0.5688,0.61216,0.42433,1.55987,1.08339,0.95157,0.000439559,0.000439559,0.000439559
53,2269.1,1.58747,1.15538,0.94509,0.69478,0.55597,0.61942,0.43218,1.54173,1.0862,0.95382,0.000436649,0.000436649,0.000436649
54,2311.97,1.6154,1.16584,0.94865,0.64527,0.58682,0.6137,0.43203,1.52354,1.08138,0.95016,0.000433738,0.000433738,0.000433738
55,2355.29,1.59535,1.13771,0.94221,0.6775,0.58611,0.62054,0.43272,1.54741,1.07507,0.94965,0.000430828,0.000430828,0.000430828
56,2395.58,1.57687,1.13449,0.94748,0.61648,0.57881,0.6129,0.42957,1.52191,1.07095,0.94639,0.000427917,0.000427917,0.000427917
57,2436.41,1.56302,1.14508,0.94399,0.70111,0.55829,0.62354,0.44211,1.5067,1.05772,0.94646,0.000425006,0.000425006,0.000425006
58,2478.21,1.56541,1.11146,0.94163,0.70757,0.57504,0.62292,0.44382,1.51175,1.04083,0.94532,0.000422096,0.000422096,0.000422096
59,2518.57,1.55947,1.1191,0.93988,0.6965,0.59164,0.63702,0.45061,1.51527,1.0676,0.94285,0.000419185,0.000419185,0.000419185
60,2559.57,1.5896,1.13662,0.93779,0.67223,0.58887,0.63764,0.44998,1.51185,1.05964,0.94529,0.000416275,0.000416275,0.000416275
61,2602.39,1.56975,1.11986,0.93433,0.69161,0.62125,0.65722,0.45297,1.53385,1.03768,0.948,0.000413364,0.000413364,0.000413364
62,2644.01,1.57379,1.10141,0.9417,0.72406,0.60294,0.65729,0.46345,1.51753,1.03942,0.94714,0.000410453,0.000410453,0.000410453
63,2688.2,1.60127,1.13344,0.94725,0.74803,0.60396,0.6539,0.46223,1.50886,1.02498,0.94655,0.000407543,0.000407543,0.000407543
64,2731.57,1.58519,1.11317,0.94086,0.73958,0.60557,0.66603,0.47528,1.49596,1.04906,0.94009,0.000404632,0.000404632,0.000404632
65,2773.04,1.57007,1.09774,0.93777,0.74158,0.61791,0.66585,0.46442,1.52796,1.04062,0.95312,0.000401722,0.000401722,0.000401722
66,2814.84,1.57886,1.09918,0.93977,0.72212,0.62874,0.67268,0.47375,1.49325,1.0094,0.94172,0.000398811,0.000398811,0.000398811
67,2857.38,1.56207,1.08247,0.93824,0.74055,0.61234,0.6725,0.47233,1.50763,1.04745,0.94173,0.0003959,0.0003959,0.0003959
68,2900.41,1.56183,1.08747,0.93305,0.73123,0.62259,0.67115,0.48336,1.48268,0.99308,0.9397,0.00039299,0.00039299,0.00039299
69,2940.31,1.5344,1.05806,0.93327,0.78101,0.61336,0.68099,0.47922,1.50023,0.99168,0.94546,0.000390079,0.000390079,0.000390079
70,2981.36,1.56942,1.07305,0.93348,0.79767,0.60642,0.67665,0.48222,1.49248,0.99998,0.9427,0.000387169,0.000387169,0.000387169
71,3023.94,1.57316,1.09009,0.94013,0.74613,0.61665,0.67384,0.47842,1.50621,1.02712,0.94109,0.000384258,0.000384258,0.000384258
72,3064.77,1.54307,1.06505,0.93775,0.73451,0.61825,0.67517,0.48101,1.4726,1.00423,0.93808,0.000381347,0.000381347,0.000381347
73,3104.81,1.58114,1.07784,0.93678,0.768,0.59948,0.66756,0.47263,1.47383,1.01224,0.93818,0.000378437,0.000378437,0.000378437
74,3145.89,1.54596,1.05945,0.93379,0.77457,0.62334,0.68503,0.47392,1.53115,0.9926,0.94693,0.000375526,0.000375526,0.000375526
75,3188.28,1.55035,1.06158,0.93924,0.76103,0.62805,0.67932,0.49218,1.47469,0.98159,0.93695,0.000372616,0.000372616,0.000372616
76,3228.95,1.53254,1.04528,0.92988,0.78738,0.62759,0.693,0.48462,1.49698,0.97703,0.93999,0.000369705,0.000369705,0.000369705
77,3268.92,1.53851,1.06854,0.92937,0.76582,0.6162,0.68448,0.48084,1.47124,1.00024,0.93244,0.000366794,0.000366794,0.000366794
78,3309.63,1.54018,1.05041,0.9313,0.78673,0.62476,0.68422,0.47752,1.5145,0.99052,0.94572,0.000363884,0.000363884,0.000363884
79,3350.75,1.54798,1.05273,0.93475,0.77662,0.62696,0.68481,0.49764,1.46263,0.96509,0.93384,0.000360973,0.000360973,0.000360973
80,3391.58,1.52633,1.03587,0.92856,0.69881,0.64716,0.68403,0.48172,1.46569,0.98344,0.93829,0.000358063,0.000358063,0.000358063
81,3432.45,1.54762,1.03895,0.9297,0.73689,0.61685,0.67736,0.47629,1.49251,0.99326,0.9385,0.000355152,0.000355152,0.000355152
82,3474.78,1.51401,1.0216,0.92927,0.79941,0.64147,0.69539,0.49825,1.46091,0.96067,0.93237,0.000352241,0.000352241,0.000352241
83,3517.18,1.49496,1.01825,0.92423,0.81948,0.61352,0.69663,0.50099,1.45033,0.96563,0.9326,0.000349331,0.000349331,0.000349331
84,3558.58,1.49534,1.01897,0.92634,0.78849,0.64211,0.69369,0.50305,1.45577,0.97653,0.93382,0.00034642,0.00034642,0.00034642
85,3600.07,1.55095,1.04007,0.9339,0.78353,0.6319,0.69171,0.49156,1.46124,0.96615,0.93249,0.00034351,0.00034351,0.00034351
86,3642.93,1.48371,1.00109,0.91879,0.79833,0.64312,0.70028,0.50634,1.44693,0.95045,0.92791,0.000340599,0.000340599,0.000340599
